make,model,city,color,carType,condition,currency,drive,country,mileage,mileage_unit,price_on_request,type,zip,manufacture_month,manufacture_year,fuel_consumption_unit
MERCEDES-BENZ,ML 400,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,E 50 AMG,Zuzwil,violet,"","","","","",0,"",false,car,"","","",""
MASERATI,SPYDER GT,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
ASTON MARTIN,Virage,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 500,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
ALFA ROMEO,166,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
PORSCHE,911,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
AUDI,RS4,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
BENTLEY,CONTINENTAL,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 55 AMG,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
ROLLS-ROYCE,CORNICHE,Zuzwil,gelb,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SLK 350,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
MASERATI,SPYDER GT,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
PORSCHE,CAYENNE,Zuzwil,anthrazit,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,CL 65 AMG,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 500,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
BMW,750,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
ASTON MARTIN,LAGONDA,Safenwil,black,"","","","","",0,"",false,car,"","","",""
MASERATI,SPYDER GT,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
BENTLEY,TURBO,Zuzwil,anthrazit,"","","","","",0,"",false,car,"","","",""
BMW,M5,Zuzwil,red,"","","","","",0,"",false,car,"","","",""
TRIUMPH,Spitfire,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
BMW,M3,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
JAGUAR,XJ 220,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
ROLLS-ROYCE,Silver Shadow,Zuzwil,red,"","","","","",0,"",false,car,"","","",""
PORSCHE,911,Zuzwil,red,"","","","","",0,"",false,car,"","","",""
BMW,2002,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
VW,TOUAREG,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
AUDI,RS6,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,ML 500,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
AUDI,RS6,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
MASERATI,SPYDER GT,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
PORSCHE,911,Sursee,black,"","","","","",0,"",false,car,"","","",""
BMW,M5,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SLR,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
ALFA ROMEO,GTV,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
AUDI,RS6,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
MAZDA,MX-5,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 320,Zuzwil,gelb,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 500,Zuzwil,beige,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,C 350,Zuzwil,red,"","","","","",0,"",false,car,"","","",""
AUDI,RS6,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
VW,TOUAREG,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
AUDI,A8,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
JAGUAR,S-TYPE,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
BMW,633,Zuzwil,grün,"","","","","",0,"",false,car,"","","",""
AUDI,S4,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
ASTON MARTIN,V8 Vantage,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
BENTLEY,ARNAGE,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 500,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
AUDI,RS6,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 65 AMG,Zuzwil,anthrazit,"","","","","",0,"",false,car,"","","",""
AUDI,RS6,Zuzwil,red,"","","","","",0,"",false,car,"","","",""
LAMBORGHINI,MURCIÉLAGO,Porrentruy,silver,"","","","","",0,"",false,car,"","","",""
BENTLEY,CONTINENTAL,St. Gallen,silver,"","","","","",0,"",false,car,"","","",""
BMW,M3,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,E 500,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
BMW-ALPINA,5 SERIES,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,CL 65 AMG,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 500,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 500,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
RENAULT,"",Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
BMW-ALPINA,5 SERIES,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MASERATI,QUATTROPORTE,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
VW,PHAETON,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
BMW,"",Zuzwil,black,"","","","","",0,"",false,car,"","","",""
ASTON MARTIN,DB9,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
LAMBORGHINI,AVENTADOR,Sursee,silver,"","","","","",0,"",false,car,"","","",""
BMW,M3,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
FORD,"",Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
PORSCHE,CAYENNE,Zuzwil,anthrazit,"","","","","",0,"",false,car,"","","",""
FERRARI,456,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
MASERATI,GHIBLI,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,C 63 AMG,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,300,Sursee,silver,"","","","","",0,"",false,car,"","","",""
BMW,M3,Zuzwil,grün,"","","","","",0,"",false,car,"","","",""
LAMBORGHINI,MURCIÉLAGO,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 500,Zuzwil,red,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,CLS 500,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
RENAULT,Alpine A110,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,600-SERIES,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
CHEVROLET,CORVETTE,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
PORSCHE,911,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
PORSCHE,911,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
LAMBORGHINI,"",Porrentruy,white,"","","","","",0,"",false,car,"","","",""
FERRARI,F360,Porrentruy,blue,"","","","","",0,"",false,car,"","","",""
VW,PHAETON,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
