modal,modal_variant,city,color,make,mileage,mileage_unit,price_on_request,carType,condition,currency,drive,country,type,zip,manufacture_month,manufacture_year,fuel_consumption_unit
ML 400,SUV / Geländewagen,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
E 50 AMG,Limousine,Zuzwil,Violet,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SPYDER GT,Cabriolet,Zuzwil,Gray,Maserati,0,"",false,"","","","","",car,"","","",""
Virage,Coupé,Zuzwil,Gray,Aston Martin,0,"",false,"","","","","",car,"","","",""
S 500,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
166,Limousine,Zuzwil,Black,Alfa Romeo,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
RS4,Limousine,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
CONTINENTAL,Coupé,Zuzwil,White,Bentley,0,"",false,"","","","","",car,"","","",""
SL 55 AMG,Cabriolet,Zuzwil,White,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CORNICHE,Cabriolet,Zuzwil,Yellow,Rolls-Royce,0,"",false,"","","","","",car,"","","",""
SLK 350,Cabriolet,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SPYDER GT,Cabriolet,Zuzwil,Blue,Maserati,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Blue,Porsche,0,"",false,"","","","","",car,"","","",""
CL 65 AMG,Coupé,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
S 500,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
750,Limousine,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
LAGONDA,Kombi,Safenwil,Black,Aston Martin,0,"",false,"","","","","",car,"","","",""
SPYDER GT,Cabriolet,Zuzwil,White,Maserati,0,"",false,"","","","","",car,"","","",""
TURBO,Limousine,Zuzwil,Blue,Bentley,0,"",false,"","","","","",car,"","","",""
M5,Limousine,Zuzwil,Red,Bmw,0,"",false,"","","","","",car,"","","",""
Spitfire,Cabriolet,Zuzwil,Blue,Triumph,0,"",false,"","","","","",car,"","","",""
M3,Coupé,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
XJ 220,Coupé,Zuzwil,White,Jaguar,0,"",false,"","","","","",car,"","","",""
Silver Shadow,Limousine,Zuzwil,Red,Rolls-Royce,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Red,Porsche,0,"",false,"","","","","",car,"","","",""
2002,Limousine,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
TOUAREG,SUV / Geländewagen,Zuzwil,Black,Vw,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
ML 500,SUV / Geländewagen,Zuzwil,White,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
SPYDER GT,Cabriolet,Zuzwil,Gray,Maserati,0,"",false,"","","","","",car,"","","",""
911,Coupé,Sursee,Black,Porsche,0,"",false,"","","","","",car,"","","",""
M5,Limousine,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
SLR,Coupé,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
GTV,Coupé,Zuzwil,Blue,Alfa Romeo,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Silver,Audi,0,"",false,"","","","","",car,"","","",""
MX-5,Cabriolet,Zuzwil,White,Mazda,0,"",false,"","","","","",car,"","","",""
S 320,Limousine,Zuzwil,Yellow,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
C 350,Limousine,Zuzwil,Red,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
TOUAREG,SUV / Geländewagen,Zuzwil,Silver,Vw,0,"",false,"","","","","",car,"","","",""
A8,Limousine,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
S-TYPE,Limousine,Zuzwil,Gray,Jaguar,0,"",false,"","","","","",car,"","","",""
633,Coupé,Zuzwil,Other,Bmw,0,"",false,"","","","","",car,"","","",""
S4,Kombi,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
V8 Vantage,Coupé,Zuzwil,Black,Aston Martin,0,"",false,"","","","","",car,"","","",""
ARNAGE,Limousine,Zuzwil,Silver,Bentley,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,White,Audi,0,"",false,"","","","","",car,"","","",""
S 65 AMG,Limousine,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Red,Audi,0,"",false,"","","","","",car,"","","",""
MURCIÉLAGO,Coupé,Porrentruy,Silver,Lamborghini,0,"",false,"","","","","",car,"","","",""
CONTINENTAL,Coupé,St. Gallen,Silver,Bentley,0,"",false,"","","","","",car,"","","",""
M3,Cabriolet,Zuzwil,Blue,Bmw,0,"",false,"","","","","",car,"","","",""
E 500,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
5 SERIES,Limousine,Zuzwil,Black,Bmw-Alpina,0,"",false,"","","","","",car,"","","",""
CL 65 AMG,Coupé,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
S 500,Limousine,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,White,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Kleinwagen,Zuzwil,Gray,Renault,0,"",false,"","","","","",car,"","","",""
5 SERIES,Limousine,Zuzwil,Black,Bmw-Alpina,0,"",false,"","","","","",car,"","","",""
QUATTROPORTE,Limousine,Zuzwil,Blue,Maserati,0,"",false,"","","","","",car,"","","",""
PHAETON,Limousine,Zuzwil,Black,Vw,0,"",false,"","","","","",car,"","","",""
"",Coupé,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
DB9,Coupé,Zuzwil,Silver,Aston Martin,0,"",false,"","","","","",car,"","","",""
AVENTADOR,Cabriolet,Sursee,Silver,Lamborghini,0,"",false,"","","","","",car,"","","",""
M3,Coupé,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
"",Coupé,Zuzwil,Gray,Ford,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Blue,Porsche,0,"",false,"","","","","",car,"","","",""
456,Coupé,Zuzwil,Blue,Ferrari,0,"",false,"","","","","",car,"","","",""
GHIBLI,Coupé,Zuzwil,Black,Maserati,0,"",false,"","","","","",car,"","","",""
C 63 AMG,Coupé,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
300,Coupé,Sursee,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
M3,Cabriolet,Zuzwil,Other,Bmw,0,"",false,"","","","","",car,"","","",""
MURCIÉLAGO,Coupé,Zuzwil,Blue,Lamborghini,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Red,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CLS 500,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
Alpine A110,Coupé,Zuzwil,Black,Renault,0,"",false,"","","","","",car,"","","",""
600-SERIES,Sattelschlepper,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CORVETTE,Coupé,Zuzwil,Silver,Chevrolet,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
"",Coupé,Porrentruy,White,Lamborghini,0,"",false,"","","","","",car,"","","",""
F360,Coupé,Porrentruy,Blue,Ferrari,0,"",false,"","","","","",car,"","","",""
PHAETON,Limousine,Zuzwil,Gray,Vw,0,"",false,"","","","","",car,"","","",""
RANGE ROVER,SUV / Geländewagen,Zuzwil,Gray,Land Rover,0,"",false,"","","","","",car,"","","",""
MONDIAL,Coupé,Zuzwil,Other,Ferrari,0,"",false,"","","","","",car,"","","",""
VIPER,Cabriolet,Zuzwil,Red,Dodge,0,"",false,"","","","","",car,"","","",""
DIABLO,Coupé,Zuzwil,Black,Lamborghini,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Blue,Porsche,0,"",false,"","","","","",car,"","","",""
CL 500,Coupé,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
ALPINE,Coupé,Zuzwil,Silver,Renault,0,"",false,"","","","","",car,"","","",""
CL 55 AMG,Coupé,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Coupé,Zuzwil,Silver,Ford,0,"",false,"","","","","",car,"","","",""
S 55 AMG,Limousine,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
IMPREZA,Limousine,Zuzwil,Blue,Subaru,0,"",false,"","","","","",car,"","","",""
CLS 63 AMG,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
CORVETTE,Cabriolet,Zuzwil,Black,Chevrolet,0,"",false,"","","","","",car,"","","",""
SL 55 AMG,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
911,Cabriolet,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Blue,Audi,0,"",false,"","","","","",car,"","","",""
BOXSTER,Cabriolet,Zuzwil,Gray,Porsche,0,"",false,"","","","","",car,"","","",""
GS,Limousine,Zuzwil,Other,Lexus,0,"",false,"","","","","",car,"","","",""
S 500,Limousine,Zuzwil,White,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
LANCER,Limousine,Zuzwil,Other,Mitsubishi,0,"",false,"","","","","",car,"","","",""
S 65 AMG,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
DBS,Cabriolet,Zuzwil,Other,Aston Martin,0,"",false,"","","","","",car,"","","",""
Skyline,Coupé,Zuzwil,Black,Nissan,0,"",false,"","","","","",car,"","","",""
RANGE ROVER,SUV / Geländewagen,Zuzwil,Silver,Land Rover,0,"",false,"","","","","",car,"","","",""
ALPINE,Coupé,Zuzwil,Silver,Renault,0,"",false,"","","","","",car,"","","",""
6 SERIES,Cabriolet,Zuzwil,Blue,Bmw-Alpina,0,"",false,"","","","","",car,"","","",""
SL 320,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
A4,Kombi,Zuzwil,Black,Audi,0,"",false,"","","","","",car,"","","",""
CORNICHE,Cabriolet,Zuzwil,Silver,Rolls-Royce,0,"",false,"","","","","",car,"","","",""
A8,Limousine,Zuzwil,White,Audi,0,"",false,"","","","","",car,"","","",""
4/4,Cabriolet,Zuzwil,Yellow,Morgan,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Gray,Porsche,0,"",false,"","","","","",car,"","","",""
COUPÉ GT,Coupé,Zuzwil,Gray,Maserati,0,"",false,"","","","","",car,"","","",""
SL 55 AMG,Cabriolet,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Cabriolet,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Red,Porsche,0,"",false,"","","","","",car,"","","",""
"",Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
S 250,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 63 AMG,Cabriolet,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
C 63 AMG,Kombi,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
F360,Cabriolet,Zuzwil,Silver,Ferrari,0,"",false,"","","","","",car,"","","",""
PHAETON,Limousine,Zuzwil,Silver,Vw,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,White,Porsche,0,"",false,"","","","","",car,"","","",""
E 240,Limousine,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
Alpine A110,Coupé,Zuzwil,Blue,Renault,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Blue,Porsche,0,"",false,"","","","","",car,"","","",""
SL 600,Cabriolet,Zuzwil,Red,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
500,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
E 55 AMG,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
M6,Coupé,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
V8 Vantage,Cabriolet,Zuzwil,White,Aston Martin,0,"",false,"","","","","",car,"","","",""
GALLARDO,Coupé,Zuzwil,Gray,Lamborghini,0,"",false,"","","","","",car,"","","",""
CORVETTE,Coupé,Zuzwil,Other,Chevrolet,0,"",false,"","","","","",car,"","","",""
"",SUV / Geländewagen,Zuzwil,Black,Kaiser,0,"",false,"","","","","",car,"","","",""
S 600,Limousine,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
7 SERIES,Limousine,Zuzwil,Silver,Bmw-Alpina,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Gray,Audi,0,"",false,"","","","","",car,"","","",""
323,Coupé,Zuzwil,Other,Bmw,0,"",false,"","","","","",car,"","","",""
Grand Cherokee,SUV / Geländewagen,Zuzwil,Black,Jeep,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
S 63 AMG,Limousine,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 500,Cabriolet,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
