ID,ModelText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,BodyColorText,MakeText,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
1015.0,ML 400,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,11,2002,Diesel,250,schwarz,87800,"\"Ab MFK\"",5,Automat,Silver,Mercedes-Benz,10.9,l/100km
1074.0,E 50 AMG,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,schwarz,67400,"\"Ab MFK\"",5,Automat,Violet,Mercedes-Benz,13.5,l/100km
248.0,SPYDER GT,Cabriolet,4244,Zuzwil,400 g/km,Occasion,G,17.5 l/100km,2,Hinterradantrieb,5,2002,Benzin,390,anthrazit,63000,"\"Ab MFK\"",2,Automatik-Getriebe,Gray,Maserati,17.5,l/100km
285.0,Virage,Coupé,5338,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1991,Benzin,310,grün,68800,"\"Ab MFK\"",4,Automatik-Getriebe,Gray,Aston Martin,null,""
675.0,S 500,Limousine,4966,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,10,1999,Benzin,299,schwarz,51000,"\"Ab MFK\"",5,Automat,Black,Mercedes-Benz,12.5,l/100km
712.0,166,Limousine,2959,Zuzwil,296 g/km,Occasion,null,12.5 l/100km,4,Vorderradantrieb,2,1999,Benzin,226,grau,56400,"\"Ab MFK\"",5,Automatik-Getriebe,Black,Alfa Romeo,12.5,l/100km
805.0,911,Coupé,3299,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1984,Benzin,300,schwarz,63500,"\"Ab MFK\"",4,Schaltgetriebe manuell,Black,Porsche,null,""
103.0,RS4,Limousine,4163,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,4,Allrad,5,2006,Benzin,420,mehrfarbig,108200,"\"Ab MFK\"",5,Schaltgetriebe manuell,Blue,Audi,13.5,l/100km
1123.0,CONTINENTAL,Coupé,5998,Zuzwil,410 g/km,Occasion,G,17.1 l/100km,2,Allrad,7,2004,Benzin,560,mehrfarbig,79700,"\"Ab MFK\"",4,Automat,White,Bentley,17.1,l/100km
1143.0,SL 55 AMG,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,1,2003,Benzin,500,rot,81000,"\"Ab MFK\"",2,Automat,White,Mercedes-Benz,14.2,l/100km
216.0,CORNICHE,Cabriolet,6747,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1987,Benzin,0,schwarz,19720,"\"Ab MFK\"",4,Automatik-Getriebe,Yellow,Rolls-Royce,null,""
361.0,SLK 350,Cabriolet,3498,Zuzwil,255 g/km,Occasion,null,10.6 l/100km,2,Hinterradantrieb,3,2008,Benzin,272,schwarz,70400,"\"Ab MFK\"",2,Automatik-Getriebe,Gray,Mercedes-Benz,10.6,l/100km
97.0,SPYDER GT,Cabriolet,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,3,2003,Benzin,390,grau,49300,"\"Ab MFK\"",2,Automatik-Getriebe,Blue,Maserati,17.5,l/100km
23.0,CAYENNE,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,3,2003,Benzin,450,schwarz,121000,"\"Ab MFK\"",5,Automat sequentiell,Blue,Porsche,15.7,l/100km
302.0,CL 65 AMG,Coupé,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,2,Hinterradantrieb,1,2006,Benzin,612,schwarz,19800,"\"Ab MFK\"",4,Automat sequentiell,Gray,Mercedes-Benz,14.9,l/100km
311.0,S 500,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,5,1999,Benzin,306,grau,32700,"\"Ab MFK\"",5,Automat,Gray,Mercedes-Benz,13.4,l/100km
618.0,750,Limousine,4395,Zuzwil,278 g/km,Occasion,G,11.9 l/100km,4,Allrad,10,2009,Benzin,408,mehrfarbig,45000,"\"Ab MFK\"",5,Automat,Black,Bmw,11.9,l/100km
666.0,LAGONDA,Kombi,5340,Safenwil,null,Occasion,null,null,4,Hinterradantrieb,3,1987,Benzin,300,grau,39000,"\"Ab MFK\"",4,Automatik-Getriebe,Black,Aston Martin,null,""
1082.0,SPYDER GT,Cabriolet,4244,Zuzwil,430 g/km,Occasion,G,18.6 l/100km,2,Hinterradantrieb,5,2003,Benzin,390,braun,78300,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,White,Maserati,18.6,l/100km
27.0,TURBO,Limousine,6749,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,4,1990,Benzin,320,blau,112500,"\"Ab MFK\"",5,Automat,Blue,Bentley,null,""
476.0,M5,Limousine,4941,Zuzwil,336 g/km,Occasion,G,13.9 l/100km,4,Hinterradantrieb,4,1999,Benzin,400,braun,29800,"\"Ab MFK\"",5,Schaltgetriebe manuell,Red,Bmw,13.9,l/100km
48.0,Spitfire,Cabriolet,1295,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1974,Benzin,60,schwarz,38000,"\"Ab MFK\"",2,Schaltgetriebe,Blue,Triumph,null,""
921.0,M3,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,7,2004,Benzin,360,null,88000,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,Silver,Bmw,11.9,l/100km
1132.0,XJ 220,Coupé,3497,Zuzwil,null,Occasion,null,null,0,null,5,1996,null,550,grau,25000,"\"Ab MFK\"",2,Schaltgetriebe,White,Jaguar,null,""
480.0,Silver Shadow,Limousine,3744,Zuzwil,null,Occasion,null,null,4,Hinterradantrieb,6,1978,Benzin,196,mehrfarbig,30900,"\"Ab MFK\"",5,Automatik-Getriebe,Red,Rolls-Royce,null,""
489.0,911,Coupé,3600,Zuzwil,null,Occasion,null,null,2,null,1,2001,Benzin,370,schwarz,21100,"\"Ab MFK\"",2,null,Red,Porsche,null,""
589.0,2002,Limousine,1990,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1974,Benzin,170,schwarz,134000,"\"Ab MFK\"",4,Schaltgetriebe manuell,Black,Bmw,null,""
688.0,TOUAREG,SUV / Geländewagen,4921,Zuzwil,333 g/km,Occasion,G,12.6 l/100km,5,Allrad,4,2008,Diesel,351,schwarz,108500,"\"Ab MFK\", \"Tuning\"",5,Automat,Black,Vw,12.6,l/100km
780.0,RS6,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,6,2003,Benzin,450,braun,41100,"\"Ab MFK\"",5,Automat sequentiell,Black,Audi,14.6,l/100km
1105.0,ML 500,SUV / Geländewagen,4966,Zuzwil,319 g/km,Occasion,G,13.4 l/100km,5,Allrad,12,2005,Benzin,306,schwarz,37500,"\"Ab MFK\"",5,Automat sequentiell,White,Mercedes-Benz,13.4,l/100km
116.0,RS6,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,10,2008,Benzin,580,schwarz,79700,"\"Ab MFK\"",5,Automat,Blue,Audi,14.0,l/100km
282.0,SPYDER GT,Cabriolet,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,6,2003,Benzin,390,schwarz,50300,"\"Ab MFK\"",2,Automatik-Getriebe,Gray,Maserati,17.5,l/100km
557.0,911,Coupé,3996,Sursee,326 g/km,Occasion,G,13.8 l/100km,2,Hinterradantrieb,11,2011,Benzin,500,rot,6300,null,2,Schaltgetriebe manuell,Black,Porsche,13.8,l/100km
585.0,M5,Limousine,4999,Zuzwil,357 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,5,2005,Benzin,503,weiss,21700,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,Black,Bmw,14.8,l/100km
71.0,SLR,Coupé,5439,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,2005,Benzin,626,rot,26400,"\"Ab MFK\"",2,Automatik-Getriebe,Blue,Mercedes-Benz,null,""
75.0,GTV,Coupé,2492,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,8,1984,Benzin,160,schwarz,75000,null,4,Schaltgetriebe manuell,Blue,Alfa Romeo,null,""
954.0,RS6,Kombi,4172,Zuzwil,null,Occasion,G,14.6 l/100km,5,Allrad,10,2002,Benzin,450,schwarz,46900,"\"Ab MFK\"",5,Automat sequentiell,Silver,Audi,14.6,l/100km
1126.0,MX-5,Cabriolet,1798,Zuzwil,174 g/km,Occasion,G,7.3 l/100km,2,Hinterradantrieb,3,2007,Benzin,126,schwarz,6900,"\"Ab MFK\"",2,Schaltgetriebe manuell,White,Mazda,7.3,l/100km
231.0,S 320,Limousine,3199,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,4,1999,Benzin,224,schwarz,128000,"\"Ab MFK\"",5,Automat,Yellow,Mercedes-Benz,11.5,l/100km
43.0,SL 500,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1996,Benzin,320,blau,34000,"\"Ab MFK\"",0,Automat,Other,Mercedes-Benz,null,""
475.0,C 350,Limousine,3498,Zuzwil,253 g/km,Occasion,G,10.6 l/100km,4,Allrad,11,2006,Benzin,272,schwarz,43700,"\"Ab MFK\"",5,Automat,Red,Mercedes-Benz,10.6,l/100km
570.0,RS6,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,3,2009,Benzin,700,schwarz,29500,"\"Ab MFK\"",5,Automat,Black,Audi,14.0,l/100km
845.0,TOUAREG,SUV / Geländewagen,4921,Zuzwil,332 g/km,Occasion,G,12.3 l/100km,5,Allrad,11,2003,Diesel,313,schwarz,117800,"\"Ab MFK\"",5,Automat,Silver,Vw,12.3,l/100km
186.0,A8,Limousine,5998,Zuzwil,334 g/km,Occasion,G,13.9 l/100km,4,Allrad,7,2004,Benzin,450,schwarz,49000,"\"Ab MFK\"",5,Automat sequentiell,Blue,Audi,13.9,l/100km
247.0,S-TYPE,Limousine,4196,Zuzwil,314 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,7,2002,Benzin,396,schwarz,32900,"\"Ab MFK\"",5,Automat,Gray,Jaguar,12.5,l/100km
413.0,633,Coupé,3208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1977,Benzin,200,mehrfarbig,128600,"\"Ab MFK\"",4,Automatik-Getriebe,Other,Bmw,null,""
45.0,S4,Kombi,2671,Zuzwil,274 g/km,Occasion,null,11.4 l/100km,5,Allrad,7,2000,Benzin,265,grau,185900,"\"Ab MFK\"",5,Schaltgetriebe manuell,Blue,Audi,11.4,l/100km
595.0,V8 Vantage,Coupé,4282,Zuzwil,358 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,2,2007,Benzin,385,schwarz,35500,"\"Ab MFK\"",2,Schaltgetriebe manuell,Black,Aston Martin,15.0,l/100km
871.0,ARNAGE,Limousine,4398,Zuzwil,390 g/km,Occasion,G,19.9 l/100km,4,Hinterradantrieb,4,2000,Benzin,354,beige,42300,"\"Ab MFK\"",5,Automat,Silver,Bentley,19.9,l/100km
926.0,SL 500,Cabriolet,5956,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1991,Benzin,380,blau,98000,"\"Ab MFK\"",4,Automatik-Getriebe,Silver,Mercedes-Benz,null,""
1153.0,RS6,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,3,2004,Benzin,450,schwarz,55000,"\"Ab MFK\"",5,Automat sequentiell,White,Audi,14.6,l/100km
34.0,S 65 AMG,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,6,2006,Benzin,612,schwarz,97300,"\"Ab MFK\"",5,Automat sequentiell,Blue,Mercedes-Benz,14.8,l/100km
453.0,RS6,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,9,2003,Benzin,450,beige,47000,"\"Ab MFK\"",5,Automat sequentiell,Red,Audi,14.6,l/100km
1058.0,MURCIÉLAGO,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,null,9000,"\"Ab MFK\"",2,Schaltgetriebe manuell,Silver,Lamborghini,21.5,l/100km
1070.0,CONTINENTAL,Coupé,5998,St. Gallen,338 g/km,Occasion,G,14.5 l/100km,2,Allrad,9,2015,Benzin,635,schwarz,5000,"\"Ab MFK\"",4,Automat,Silver,Bentley,14.5,l/100km
189.0,M3,Cabriolet,3246,Zuzwil,328 g/km,Occasion,G,13.6 l/100km,2,Hinterradantrieb,3,2002,Benzin,343,schwarz,142000,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe,Blue,Bmw,13.6,l/100km
340.0,E 500,Limousine,4966,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,5,2003,Benzin,306,beige,29200,"\"Ab MFK\"",5,Automat sequentiell,Gray,Mercedes-Benz,11.5,l/100km
596.0,5 SERIES,Limousine,4395,Zuzwil,252 g/km,Occasion,G,10.8 l/100km,4,Hinterradantrieb,6,2012,Benzin,507,schwarz,4950,"\"Ab MFK\"",5,Automat sequentiell,Black,Bmw-Alpina,10.8,l/100km
708.0,CL 65 AMG,Coupé,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,2,Hinterradantrieb,2,2004,Benzin,612,schwarz,48300,"\"Ab MFK\"",4,Automat sequentiell,Black,Mercedes-Benz,14.9,l/100km
878.0,S 500,Limousine,5461,Zuzwil,286 g/km,Occasion,G,12.2 l/100km,4,Hinterradantrieb,2,2009,Benzin,388,beige,52000,"\"Ab MFK\"",5,Automat sequentiell,Silver,Mercedes-Benz,12.2,l/100km
1145.0,SL 500,Cabriolet,4966,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,306,anthrazit,15600,"\"Ab MFK\"",2,Automat,White,Mercedes-Benz,12.7,l/100km
310.0,"",Kleinwagen,0,Zuzwil,null,Oldtimer,null,null,0,null,4,1969,null,0,schwarz,45000,"\"Ab MFK\"",0,Schaltgetriebe,Gray,Renault,null,""
586.0,5 SERIES,Limousine,4619,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,10,1998,Benzin,347,schwarz,94400,"\"Ab MFK\"",5,Automat,Black,Bmw-Alpina,14.9,l/100km
151.0,QUATTROPORTE,Limousine,4691,Zuzwil,365 g/km,Occasion,G,15.7 l/100km,4,Hinterradantrieb,2,2009,Benzin,431,beige,96000,"\"Ab MFK\", \"Direkt-/Parallelimport\"",5,Automat sequentiell,Blue,Maserati,15.7,l/100km
614.0,PHAETON,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,10,2002,Benzin,420,blau,50400,"\"Ab MFK\"",4,Automat sequentiell,Black,Vw,15.6,l/100km
828.0,"",Coupé,2315,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1979,Benzin,143,blau,157400,null,5,Schaltgetriebe,Black,Bmw,null,""
854.0,DB9,Coupé,5935,Zuzwil,394 g/km,Occasion,G,16.5 l/100km,2,Hinterradantrieb,1,2005,Benzin,457,schwarz,40800,"\"Ab MFK\"",4,Automat sequentiell,Silver,Aston Martin,16.5,l/100km
990.0,AVENTADOR,Cabriolet,6498,Sursee,370 g/km,Occasion,G,16.0 l/100km,2,Allrad,1,2014,Benzin,700,schwarz,150,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe,Silver,Lamborghini,16.0,l/100km
1061.0,M3,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,11,2003,Benzin,360,null,35000,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe,Silver,Bmw,11.9,l/100km
321.0,"",Coupé,2884,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,1,1927,Benzin,0,schwarz,1,null,2,Schaltgetriebe,Gray,Ford,null,""
5.0,CAYENNE,SUV / Geländewagen,4806,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,5,Allrad,1,2010,Benzin,500,schwarz,2900,"\"Ab MFK\"",5,Automat sequentiell,Blue,Porsche,11.5,l/100km
51.0,456,Coupé,5474,Zuzwil,495 g/km,Occasion,G,22.0 l/100km,2,Hinterradantrieb,3,2000,Benzin,442,grau,46500,"\"Ab MFK\"",4,Schaltgetriebe manuell,Blue,Ferrari,22.0,l/100km
798.0,GHIBLI,Coupé,2788,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1996,Benzin,284,beige,40600,"\"Ab MFK\"",5,Automat,Black,Maserati,null,""
815.0,C 63 AMG,Coupé,6208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2012,Benzin,517,schwarz,500,"\"Ab MFK\"",2,Automatik-Getriebe,Black,Mercedes-Benz,null,""
931.0,300,Coupé,2995,Sursee,null,Occasion,null,null,2,Hinterradantrieb,5,1955,null,215,rot,5000,null,0,Schaltgetriebe,Silver,Mercedes-Benz,null,""
374.0,M3,Cabriolet,3246,Zuzwil,328 g/km,Occasion,null,13.6 l/100km,2,Hinterradantrieb,12,2002,Benzin,343,braun,52900,"\"Ab MFK\"",4,Automatik-Getriebe,Other,Bmw,13.6,l/100km
46.0,MURCIÉLAGO,Coupé,6192,Zuzwil,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,5,2002,Benzin,580,schwarz,16000,"\"Ab MFK\"",2,Schaltgetriebe manuell,Blue,Lamborghini,21.5,l/100km
486.0,SL 500,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1993,Benzin,320,grau,117900,"\"Ab MFK\"",2,Automat,Red,Mercedes-Benz,null,""
624.0,CLS 500,Limousine,4966,Zuzwil,290 g/km,Occasion,G,12.1 l/100km,4,Hinterradantrieb,1,2005,Benzin,306,schwarz,21300,"\"Ab MFK\"",4,Automat sequentiell,Black,Mercedes-Benz,12.1,l/100km
657.0,Alpine A110,Coupé,1288,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1973,Benzin,0,null,85000,"\"Ab MFK\"",2,Schaltgetriebe,Black,Renault,null,""
678.0,600-SERIES,Sattelschlepper,3972,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1996,Diesel,105,null,65400,null,2,Schaltgetriebe,Black,Mercedes-Benz,null,""
