ID,MakeText,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
1015.0,MERCEDES-BENZ,ML 400,silber mét.,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,11,2002,Diesel,250,schwarz,87800,5,Automat,silver,10.9,l/100km
1074.0,MERCEDES-BENZ,E 50 AMG,violett mét.,Limousine,4973,Zuzwil,315 g/km,Occasion,null,13.5 l/100km,4,Hinterradantrieb,3,1997,Benzin,347,schwarz,67400,5,Automat,violet,13.5,l/100km
248.0,MASERATI,SPYDER GT,grau,Cabriolet,4244,Zuzwil,400 g/km,Occasion,G,17.5 l/100km,2,Hinterradantrieb,5,2002,Benzin,390,anthrazit,63000,2,Automatik-Getriebe,grey,17.5,l/100km
285.0,ASTON MARTIN,Virage,grau mét.,Coupé,5338,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1991,Benzin,310,grün,68800,4,Automatik-Getriebe,grey,null,""
675.0,MERCEDES-BENZ,S 500,schwarz mét.,Limousine,4966,Zuzwil,299 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,10,1999,Benzin,299,schwarz,51000,5,Automat,black,12.5,l/100km
712.0,ALFA ROMEO,166,schwarz mét.,Limousine,2959,Zuzwil,296 g/km,Occasion,null,12.5 l/100km,4,Vorderradantrieb,2,1999,Benzin,226,grau,56400,5,Automatik-Getriebe,black,12.5,l/100km
805.0,PORSCHE,911,schwarz mét.,Coupé,3299,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1984,Benzin,300,schwarz,63500,4,Schaltgetriebe manuell,black,null,""
103.0,AUDI,RS4,blau mét.,Limousine,4163,Zuzwil,324 g/km,Occasion,G,13.5 l/100km,4,Allrad,5,2006,Benzin,420,mehrfarbig,108200,5,Schaltgetriebe manuell,blue,13.5,l/100km
1123.0,BENTLEY,CONTINENTAL,weiss,Coupé,5998,Zuzwil,410 g/km,Occasion,G,17.1 l/100km,2,Allrad,7,2004,Benzin,560,mehrfarbig,79700,4,Automat,white,17.1,l/100km
1143.0,MERCEDES-BENZ,SL 55 AMG,weiss mét.,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,1,2003,Benzin,500,rot,81000,2,Automat,white,14.2,l/100km
216.0,ROLLS-ROYCE,CORNICHE,gelb,Cabriolet,6747,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1987,Benzin,0,schwarz,19720,4,Automatik-Getriebe,gelb,null,""
361.0,MERCEDES-BENZ,SLK 350,grau mét.,Cabriolet,3498,Zuzwil,255 g/km,Occasion,null,10.6 l/100km,2,Hinterradantrieb,3,2008,Benzin,272,schwarz,70400,2,Automatik-Getriebe,grey,10.6,l/100km
97.0,MASERATI,SPYDER GT,blau mét.,Cabriolet,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,3,2003,Benzin,390,grau,49300,2,Automatik-Getriebe,blue,17.5,l/100km
23.0,PORSCHE,CAYENNE,anthrazit mét.,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,3,2003,Benzin,450,schwarz,121000,5,Automat sequentiell,anthrazit,15.7,l/100km
302.0,MERCEDES-BENZ,CL 65 AMG,grau mét.,Coupé,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,2,Hinterradantrieb,1,2006,Benzin,612,schwarz,19800,4,Automat sequentiell,grey,14.9,l/100km
311.0,MERCEDES-BENZ,S 500,grau mét.,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,5,1999,Benzin,306,grau,32700,5,Automat,grey,13.4,l/100km
618.0,BMW,750,schwarz mét.,Limousine,4395,Zuzwil,278 g/km,Occasion,G,11.9 l/100km,4,Allrad,10,2009,Benzin,408,mehrfarbig,45000,5,Automat,black,11.9,l/100km
