carType,city,color,condition,country,currency,drive,fuel_consumption_unit,make,manufacture_month,manufacture_year,mileage,mileage_unit,modal,modal_variant,price_on_request,targetData,target_city,target_color,target_make,type,zip
"",Zuzwil,Silver,"","","","","",Triumph,"","",0,"",Dolomite,Limousine,false,MisMatch,"","","",car,""
"",Zuzwil,Silver,"","","","","",Alfa Romeo,"","",0,"",8C,Coupé,false,Match,Zuzwil,Silver,Alfa Romeo,car,""
"",Zuzwil,Silver,"","","","","",Alfa Romeo,"","",0,"",GT,Limousine,false,Match,Zuzwil,Silver,Alfa Romeo,car,""
"",Zuzwil,Black,"","","","","",Fiat,"","",0,"",SPIDER,Coupé,false,Match,Zuzwil,Black,Fiat,car,""
"",Zuzwil,Black,"","","","","",Fiat,"","",0,"",131,Limousine,false,Match,Zuzwil,Black,Fiat,car,""
"",Zuzwil,Other,"","","","","",Ferrari,"","",0,"",MONDIAL,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Other,"","","","","",Ferrari,"","",0,"",348,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Other,"","","","","",Ferrari,"","",0,"",F360,Cabriolet,false,MisMatch,"","","",car,""
"",Zuzwil,Other,"","","","","",Ferrari,"","",0,"",575M,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Other,"","","","","",Ferrari,"","",0,"",F430,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Other,"","","","","",Ferrari,"","",0,"",F360,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Other,"","","","","",Ferrari,"","",0,"",456,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Red,"","","","","",Volvo,"","",0,"",V70,Kombi,false,MisMatch,"","","",car,""
"",St. Gallen,Black,"","","","","",Lamborghini,"","",0,"",GALLARDO,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Gray,"","","","","",Lamborghini,"","",0,"",GALLARDO,Coupé,false,Match,Zuzwil,Gray,Lamborghini,car,""
"",Zuzwil,Gray,"","","","","",Lamborghini,"","",0,"",HURACAN,Coupé,false,Match,Zuzwil,Gray,Lamborghini,car,""
"",Zuzwil,Gray,"","","","","",Lamborghini,"","",0,"",GALLARDO,Cabriolet,false,Match,Zuzwil,Gray,Lamborghini,car,""
"",Zuzwil,Gray,"","","","","",Mercedes-Benz,"","",0,"",SLK 350,Cabriolet,false,Match,Zuzwil,Gray,Mercedes-Benz,car,""
"",Zuzwil,Gray,"","","","","",Mercedes-Benz,"","",0,"",CL 65 AMG,Coupé,false,Match,Zuzwil,Gray,Mercedes-Benz,car,""
"",Zuzwil,Gray,"","","","","",Mercedes-Benz,"","",0,"",S 500,Limousine,false,Match,Zuzwil,Gray,Mercedes-Benz,car,""
"",Zuzwil,Gray,"","","","","",Mercedes-Benz,"","",0,"",E 500,Limousine,false,Match,Zuzwil,Gray,Mercedes-Benz,car,""
"",Zuzwil,Gray,"","","","","",Mercedes-Benz,"","",0,"",S 65 AMG,Limousine,false,Match,Zuzwil,Gray,Mercedes-Benz,car,""
"",Zuzwil,Gray,"","","","","",Mercedes-Benz,"","",0,"",SL 500,Cabriolet,false,Match,Zuzwil,Gray,Mercedes-Benz,car,""
"",Zuzwil,Gray,"","","","","",Mercedes-Benz,"","",0,"",S 250,Limousine,false,Match,Zuzwil,Gray,Mercedes-Benz,car,""
"",Zuzwil,Gray,"","","","","",Mercedes-Benz,"","",0,"",SL 55 AMG,Cabriolet,false,Match,Zuzwil,Gray,Mercedes-Benz,car,""
"",Zuzwil,Gray,"","","","","",Mercedes-Benz,"","",0,"",S 55 AMG,Limousine,false,Match,Zuzwil,Gray,Mercedes-Benz,car,""
